ModelID,Accuracy,Precision,Recall,F1 Score,Parameter Count,Learning Rate,Batch size,Epoch,Optimizer,conv1,conv2,conv3,f1,f2,k1,k2,k3,max_val,max_val_index
tfeq_20250526_0315_4577,50.0046%,50.0046%,100.0000%,66.6707%,158484,0.01,64,100,,32,32,32,44,18,4,4,4,db4,1
tfeq_20250526_0356_2628,50.0046%,50.0046%,100.0000%,66.6707%,158484,0.01,64,100,,32,32,32,44,18,4,4,4,db4,1
tfeq_20250526_0400_6072,49.9954%,0.0000%,0.0000%,0.0000%,158484,0.01,64,100,,32,32,32,44,18,4,4,4,db4,1
tfeq_20250526_0444_5911,91.2058%,91.4643%,90.8958%,91.1792%,158484,0.01,256,100,,32,32,32,44,18,4,4,4,db4,1
tfeq_20250526_0441_8911,49.9954%,0.0000%,0.0000%,0.0000%,158484,0.01,64,100,,32,32,32,44,18,4,4,4,db4,1
tfeq_20250526_0522_7685,92.8147%,95.1775%,90.2011%,92.6225%,158484,0.01,256,100,,32,32,32,44,18,4,4,4,db4,1
tfeq_20250526_0529_2514,50.0046%,50.0046%,100.0000%,66.6707%,158484,0.01,256,100,,32,32,32,44,18,4,4,4,db4,1
tfeq_20250526_0602_2660,50.0046%,50.0046%,100.0000%,66.6707%,158484,0.01,256,100,,32,32,32,44,18,4,4,4,db4,1
tfeq_20250526_0610_4790,49.9954%,0.0000%,0.0000%,0.0000%,158484,0.01,256,100,,32,32,32,44,18,4,4,4,db4,1
tfeq_20250526_0816_6695,50.0046%,50.0046%,100.0000%,66.6707%,158484,0.01,1024,100,,32,32,32,44,18,4,4,4,db4,1
tfeq_20250527_1539_8619,49.9995%,50.0046%,44.8396%,47.2814%,55699,0.001,32,2,,32,32,32,44,18,4,4,4,db4,1
tfeq_20250527_1557_2004,49.9996%,50.0046%,45.8177%,47.8197%,55699,0.001,32,100,,32,32,32,44,18,4,4,4,db4,1
cnn_20250529_1609_1382,94.0762%,95.4049%,92.6143%,93.9889%,26993,0.002,100,100,,24,16,8,16,8,4,4,4,db4,1
cnn_20250529_1635_2623,94.9528%,95.3888%,93.9785%,94.6784%,14193,0.002,100,100,,24,16,8,16,8,4,4,4,db4,1
cnn_20250531_1733_2398,96.7322%,96.0483%,94.0668%,95.0473%,37383,0.002,1024,100,,32,24,16,22,11,4,4,4,db4,1
cnn_20250531_2259_6313,96.8215%,96.8152%,93.3976%,95.0757%,37383,0.002,1024,100,,32,24,16,22,11,4,4,4,db4,1
cnn_20250531_2312_6360,97.1742%,96.6181%,94.4878%,95.5411%,37383,0.002,1024,100,,32,24,16,22,11,4,4,4,db4,1
cnn_20250531_2329_2766,98.4594%,97.9113%,97.4572%,97.6837%,37383,0.002,1024,100,,32,24,16,22,11,4,4,4,db4,1
cnn_20250531_2340_7621,96.7322%,96.0483%,94.0668%,95.0473%,37383,0.002,1024,100,,32,24,16,22,11,4,4,4,db4,1
cnn_20250531_2358_2290,96.3964%,95.0266%,94.1148%,94.5685%,37383,0.002,100,100,,32,24,16,22,11,4,4,4,db4,1
cnn_20250604_1141_6187,95.2663%,92.8309%,92.9794%,92.9051%,137673,0.002,100,2,,32,32,32,44,18,4,4,4,db4,1
cnn_20250604_1152_4250,96.2418%,96.4345%,92.1318%,94.2341%,137673,0.002,100,100,,32,32,32,44,18,4,4,4,db4,1
