ModelID,Accuracy,Precision,Recall,F1 Score,Parameter Count,Learning Rate,Batch size,Epoch,Optimizer,conv1,conv2,conv3,f1,f2,k1,k2,k3,max_val,max_val_index
cnn_20250424_1830_2790,93.9785%,94.7871%,93.0759%,93.9237%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,92.4554%,186
cnn_20250424_1830_6317,94.4927%,95.8549%,93.0073%,94.4096%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,92.5621%,170
cnn_20250424_1830_8833,94.0071%,94.3466%,93.6243%,93.9841%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,92.4249%,193
cnn_20250424_1830_4488,94.0471%,94.1783%,93.8985%,94.0382%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,92.6688%,193
cnn_20250424_1837_4131,94.5784%,96.4188%,92.5960%,94.4687%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,93.1337%,106
cnn_20250424_1839_2186,93.7900%,93.3884%,94.2527%,93.8186%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,92.5164%,181
cnn_20250424_1839_2012,94.0642%,94.1803%,93.9328%,94.0564%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,92.3563%,132
cnn_20250424_1840_3933,94.2470%,95.3189%,93.0644%,94.1782%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,92.4783%,85
cnn_20250424_1840_4460,94.0585%,94.7955%,93.2358%,94.0092%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,92.3792%,176
cnn_20250424_1840_1453,94.6355%,96.2253%,92.9159%,94.5416%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,93.3013%,193
cnn_20250424_1840_5519,94.2128%,95.8309%,92.4474%,94.1088%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,92.6383%,194
cnn_20250424_1840_7575,94.3327%,96.3118%,92.1961%,94.2090%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,92.7145%,106
cnn_20250424_1840_9091,94.3384%,94.6086%,94.0356%,94.3212%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,92.5850%,159
cnn_20250424_1840_6243,93.9442%,94.7834%,93.0073%,93.8870%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,92.6078%,162
cnn_20250424_1845_8216,96.0580%,98.3565%,93.6814%,95.9621%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.5723%,164
cnn_20250424_1847_1322,96.5951%,97.3525%,95.7952%,96.5676%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.6180%,189
cnn_20250424_1848_4998,96.3037%,97.5813%,94.9612%,96.2534%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.5571%,169
cnn_20250424_1849_6337,96.5265%,96.8800%,96.1495%,96.5134%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.4656%,192
cnn_20250424_1849_5820,96.3037%,96.2878%,96.3208%,96.3043%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.3818%,189
cnn_20250424_1849_8258,96.2294%,98.3393%,94.0471%,96.1453%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.6943%,193
cnn_20250424_1849_7945,96.6122%,97.7190%,95.4525%,96.5725%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.6104%,165
